epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1682.17,1.49593,2.34932,0.95419,1.23016,0.35346,0.01681,0.03053,0.02196,0.34999,0.01668,0.03049,0.01889,1.08483,2.82489,12.6869,0.93411,0.000660317,0.000660317,0.000660317
2,3313,1.33041,1.99381,0.72818,1.13213,0.34889,0.01681,0.03732,0.02732,0.34958,0.01675,0.03726,0.02293,1.03088,2.75571,15.9552,0.92166,0.00131385,0.00131385,0.00131385
3,4939.49,1.30095,1.97351,0.70525,1.11204,0.37505,0.01692,0.03645,0.02636,0.37277,0.01681,0.03645,0.02224,1.04642,2.93543,14.6944,0.93097,0.00195418,0.00195418,0.00195418
4,6589.43,1.25912,1.92376,0.70988,1.10099,0.39039,0.01695,0.0399,0.0304,0.38485,0.01671,0.0399,0.02489,0.99786,2.77566,13.7628,0.90887,0.0019406,0.0019406,0.0019406
5,8233.35,1.24157,1.89537,0.68819,1.09157,0.39241,0.01692,0.03321,0.02473,0.37291,0.01688,0.03321,0.0206,0.98788,2.89122,13.4866,0.89613,0.0019208,0.0019208,0.0019208
6,9991.78,1.22118,1.86107,0.66888,1.08238,0.34181,0.01688,0.0297,0.02196,0.34079,0.01685,0.0297,0.0185,0.99718,2.69932,15.3454,0.90341,0.001901,0.001901,0.001901
7,11625.4,1.1885,1.81355,0.68513,1.06667,0.37535,0.01695,0.04922,0.03717,0.38884,0.01688,0.04922,0.03044,0.98902,2.85809,17.1066,0.89268,0.0018812,0.0018812,0.0018812
8,13321.6,1.20176,1.80877,0.65634,1.0641,0.38937,0.01699,0.04359,0.03386,0.38937,0.01699,0.04359,0.02787,0.93966,2.81607,14.4963,0.87849,0.0018614,0.0018614,0.0018614
9,14992.6,1.13153,1.74501,0.64239,1.04192,0.37738,0.01695,0.0361,0.02748,0.3756,0.01688,0.0361,0.02277,0.94468,2.94546,16.2194,0.87951,0.0018416,0.0018416,0.0018416
10,16705.8,1.16675,1.76505,0.61769,1.05535,0.36512,0.01702,0.03779,0.02863,0.36223,0.01692,0.03779,0.02391,0.93399,2.7473,15.5619,0.87737,0.0018218,0.0018218,0.0018218
11,18341.3,1.17983,1.7607,0.66325,1.05456,0.36642,0.01702,0.04673,0.03592,0.36485,0.01699,0.04673,0.02995,0.92571,2.77374,14.421,0.86931,0.001802,0.001802,0.001802
12,19986.7,1.11761,1.70678,0.63045,1.03198,0.38472,0.01699,0.05215,0.04108,0.36973,0.01702,0.05215,0.03369,0.90568,2.83931,15.4787,0.86418,0.0017822,0.0017822,0.0017822
13,21712,1.13148,1.73132,0.62603,1.03595,0.39809,0.01702,0.05001,0.03926,0.3989,0.01705,0.05001,0.03284,0.88892,2.86208,14.6177,0.85812,0.0017624,0.0017624,0.0017624
14,23319.4,1.05362,1.63946,0.57902,1.00473,0.38525,0.01695,0.06486,0.0507,0.38525,0.01695,0.06486,0.04193,0.88402,2.88635,15.1891,0.86034,0.0017426,0.0017426,0.0017426
15,24906.9,1.06734,1.67279,0.60274,1.01787,0.37893,0.01699,0.05613,0.04394,0.37389,0.01695,0.05613,0.03593,0.92302,3.09257,14.799,0.87754,0.0017228,0.0017228,0.0017228
16,26441.6,1.05705,1.65687,0.59343,1.00632,0.38143,0.01702,0.065,0.05108,0.38066,0.01699,0.065,0.04233,0.86575,3.01217,17.7422,0.84869,0.001703,0.001703,0.001703
17,28074,1.03267,1.59906,0.55509,0.99315,0.41016,0.01709,0.05483,0.04276,0.41016,0.01709,0.05483,0.03594,0.88582,2.95193,15.9766,0.86079,0.0016832,0.0016832,0.0016832
18,29685.6,1.06924,1.65819,0.57744,1.01563,0.38134,0.01688,0.06821,0.05431,0.38134,0.01688,0.06821,0.04519,0.83919,2.79308,15.6792,0.83939,0.0016634,0.0016634,0.0016634
19,31377.5,1.01646,1.62586,0.54155,0.99159,0.38135,0.01702,0.05603,0.04453,0.38135,0.01702,0.05603,0.03673,0.84329,3.13597,15.4759,0.84414,0.0016436,0.0016436,0.0016436
20,33128.8,1.04109,1.63155,0.55292,0.99855,0.38679,0.01709,0.06464,0.04931,0.38679,0.01709,0.06464,0.0413,0.94112,2.90684,15.4739,0.87792,0.0016238,0.0016238,0.0016238
21,34781.5,1.11877,1.6221,0.58933,1.02477,0.39956,0.01705,0.06423,0.04995,0.39837,0.01702,0.06423,0.04121,0.89663,2.90802,13.2016,0.8652,0.001604,0.001604,0.001604
22,36386.9,1.0175,1.54801,0.54695,0.98434,0.40675,0.01709,0.07955,0.06325,0.40512,0.01702,0.07941,0.05315,0.83136,2.88435,14.739,0.83767,0.0015842,0.0015842,0.0015842
23,38089.1,0.98567,1.54907,0.5465,0.97546,0.41997,0.01712,0.07478,0.06008,0.41997,0.01712,0.07478,0.05031,0.81724,2.90438,15.5588,0.83376,0.0015644,0.0015644,0.0015644
24,39756.1,0.95355,1.53967,0.52843,0.96442,0.41528,0.01712,0.09317,0.07543,0.41445,0.01709,0.093,0.06267,0.80163,2.99823,16.558,0.82757,0.0015446,0.0015446,0.0015446
25,41468.3,0.96286,1.51836,0.51879,0.96845,0.4159,0.01709,0.07342,0.05915,0.4159,0.01709,0.07342,0.04925,0.80497,3.12135,14.1545,0.83135,0.0015248,0.0015248,0.0015248
26,43214.5,0.94267,1.53804,0.53084,0.96485,0.40658,0.01712,0.08569,0.06989,0.40577,0.01709,0.08569,0.05809,0.76756,2.9018,15.2798,0.81429,0.001505,0.001505,0.001505
27,44883.9,0.90669,1.45057,0.54265,0.94299,0.41305,0.01705,0.0787,0.06438,0.41305,0.01705,0.0787,0.05425,0.76687,3.22431,14.1608,0.81485,0.0014852,0.0014852,0.0014852
